glider,mode,rows,median |vert speed| m/s,deepest in mode m,dives,median dive h,median max depth m,W h/dive,Watts,km/dive,km per hour,W h per km,cc pumped per hour,pump moves per hour,cc pumped per dive,pump dives counted
sg607,shakedown,13946,0.113,1000,10.0,2.99,641.0,7.1,2.81,3.06,0.986,2.6,432.0,31.0,1226.0,10.0
sg607,fast,26709,0.129,1006,15.0,4.42,999.0,11.7,2.77,5.0,1.264,2.2,330.0,21.0,1355.0,15.0
sg607,slow,30369,0.099,992,12.0,5.69,992.0,9.7,1.71,4.09,0.718,2.4,151.0,9.0,901.0,12.0
sg607,intermediate,20113,0.105,995,9.0,5.17,992.0,9.7,1.86,4.25,0.85,2.2,176.0,10.0,943.0,9.0
sg607,drift,19810,0.109,878,10.0,4.57,842.0,8.8,1.97,2.96,0.657,3.0,193.0,9.0,933.0,10.0
sg607,mini-slow,4869,0.097,990,2.0,5.62,991.0,9.1,1.61,3.03,0.537,3.0,156.0,10.0,839.0,2.0
sg607,mini-intermediate,4854,0.102,992,2.0,5.14,992.0,10.0,1.95,3.97,0.771,2.6,160.0,9.0,1005.0,2.0
sg607,mini-fast,4583,0.109,998,2.0,4.8,997.0,11.9,2.47,5.35,1.114,2.2,223.0,15.0,1262.0,2.0
sg274,shakedown,19404,0.103,721,11.0,3.0,544.0,6.3,2.47,1.79,0.75,3.4,453.0,31.0,1199.0,11.0
sg274,fast,41619,0.129,994,17.0,3.89,995.0,10.9,3.03,3.8,1.027,3.0,415.0,30.0,1434.0,17.0
sg274,slow,45755,0.099,988,13.0,5.43,991.0,10.4,1.91,3.34,0.603,3.1,192.0,14.0,1066.0,13.0
sg274,intermediate,30899,0.107,987,10.0,4.97,991.0,10.7,2.17,3.96,0.854,2.7,242.0,16.0,1171.0,10.0
sg274,drift,29195,0.111,838,11.0,4.39,828.0,9.8,2.24,3.43,0.766,3.1,269.0,20.0,1221.0,11.0
sg274,mini-slow,7695,0.097,987,2.0,5.19,991.0,10.5,2.02,3.22,0.622,3.3,209.0,16.0,1151.0,2.0
sg274,mini-intermediate,7225,0.11,986,2.0,4.78,991.0,10.2,2.14,3.73,0.778,2.9,211.0,15.0,1131.0,2.0
sg274,mini-fast,7833,0.126,989,3.0,4.14,994.0,11.1,2.69,4.26,1.029,2.6,327.0,24.0,1327.0,3.0
risso,shakedown,32320,0.151,975,12.0,2.79,804.0,6.9,2.45,2.62,0.875,3.2,544.0,16.0,1005.0,12.0
risso,fast,59227,0.139,976,15.0,4.0,972.0,7.6,1.88,3.73,0.904,2.1,272.0,9.0,849.0,15.0
risso,slow,71813,0.119,975,15.0,4.63,972.0,8.0,1.73,3.24,0.674,2.6,189.0,7.0,755.0,15.0
risso,intermediate,45827,0.185,977,15.0,2.96,973.0,6.7,2.26,2.94,0.974,2.4,301.0,9.0,936.0,15.0
risso,drift,36411,0.173,780,15.0,3.34,743.0,6.9,2.23,2.52,0.774,2.8,372.0,13.0,1169.0,15.0
risso,mini-slow,14454,0.132,975,3.0,3.85,971.0,7.8,2.04,1.82,0.767,3.9,346.0,11.0,1007.0,3.0
risso,mini-intermediate,9725,0.199,974,4.0,2.85,973.0,6.8,2.38,3.69,1.305,1.8,357.0,11.0,974.0,4.0
risso,mini-fast,13672,0.192,978,5.0,2.51,976.0,7.2,2.9,2.29,0.896,3.1,508.0,15.0,1370.0,5.0
stenella,shakedown,32279,0.162,980,13.0,3.05,804.0,7.0,2.67,2.38,0.8,2.9,659.0,25.0,1203.0,13.0
stenella,fast,58479,0.142,978,16.0,3.94,504.0,8.2,2.13,3.16,0.88,2.5,331.0,13.0,1044.0,16.0
stenella,slow,71443,0.133,973,17.0,4.03,972.0,7.7,2.0,2.57,0.631,3.0,189.0,8.0,726.0,17.0
stenella,intermediate,47503,0.213,975,18.0,2.66,974.0,6.5,2.45,2.29,0.851,3.0,344.0,15.0,895.0,18.0
stenella,drift,37085,0.168,822,13.0,3.55,785.0,8.2,2.33,2.39,0.674,3.6,334.0,14.0,1189.0,13.0
stenella,mini-slow,13232,0.208,976,5.0,2.42,974.0,6.5,2.68,2.92,0.946,2.1,435.0,18.0,1021.0,5.0
stenella,mini-intermediate,9653,0.233,975,5.0,2.36,975.0,6.6,2.78,1.99,0.872,3.8,359.0,16.0,998.0,5.0
stenella,mini-fast,14604,0.197,980,4.0,2.4,979.0,7.8,3.26,1.55,0.648,5.0,591.0,25.0,1405.0,4.0
capex987,shakedown,99947,0.134,953,10.0,2.59,603.0,12.8,5.13,2.19,0.672,6.8,621.0,19.0,1224.0,10.0
capex987,fast,244001,0.176,958,17.0,3.37,673.0,17.8,5.71,2.58,0.881,6.4,628.0,19.0,1638.0,17.0
capex987,slow,296388,0.1,951,17.0,5.28,951.0,25.1,4.73,2.9,0.546,8.2,212.0,7.0,779.0,17.0
capex987,intermediate,191354,0.127,951,11.0,4.36,951.0,21.3,4.92,2.23,0.522,9.4,245.0,8.0,873.0,11.0
capex987,drift,178722,0.12,787,13.0,3.95,767.0,19.3,4.96,2.08,0.588,8.1,262.0,9.0,826.0,13.0
capex987,mini-slow,47607,0.115,951,3.0,4.75,951.0,23.8,4.88,1.79,0.358,13.5,211.0,6.0,848.0,3.0
capex987,mini-intermediate,48560,0.13,951,3.0,4.0,952.0,20.3,5.15,1.54,0.383,13.3,183.0,7.0,946.0,3.0
capex987,mini-fast,49035,0.179,956,3.0,3.11,957.0,17.7,5.7,2.57,0.843,6.8,510.0,18.0,1571.0,3.0
SEA117,shakedown,94050,0.225,1002,,,,,,,,,1022.0,75.0,2245.0,13.0
SEA117,fast,189362,0.156,1002,,,,,,,,,949.0,81.0,2163.0,25.0
SEA117,slow,228681,0.099,1000,,,,,,,,,512.0,73.0,2278.0,13.0
SEA117,intermediate,20378,0.098,1000,,,,,,,,,486.0,70.0,2260.0,10.0
SEA117,drift,7209,0.123,998,,,,,,,,,501.0,69.0,2196.0,11.0
SEA117,mini-slow,1999,0.09,999,,,,,,,,,380.0,68.0,2418.0,2.0
SEA117,mini-intermediate,2087,0.123,1000,,,,,,,,,435.0,71.0,2299.0,2.0
SEA117,mini-fast,2063,0.296,1002,,,,,,,,,1164.0,81.0,2284.0,6.0
belladonna,shakedown,89313,0.724,203,33.0,0.61,191.0,1.4,2.18,0.68,1.086,2.0,,,,
belladonna,fast,64110,0.762,202,31.0,1.48,200.0,3.1,2.14,1.82,1.09,2.0,,,,
belladonna,slow,101086,0.59,200,37.0,1.58,200.0,3.1,1.92,0.86,0.504,3.8,,,,
belladonna,intermediate,62107,0.713,202,28.0,1.31,200.0,3.0,2.24,0.99,0.78,2.9,,,,
belladonna,drift,56279,0.811,201,34.0,1.05,152.0,1.9,1.98,0.54,0.433,4.4,,,,
belladonna,mini-slow,18342,0.847,152,8.0,1.27,152.0,2.9,2.32,0.32,0.248,9.4,,,,
belladonna,mini-intermediate,22758,0.765,202,10.0,1.14,202.0,2.6,2.25,0.74,0.649,3.5,,,,
belladonna,mini-fast,10880,0.773,202,6.0,2.2,202.0,4.9,2.23,1.8,0.814,2.7,,,,
