file,ID,MISSION,DIVE,D_TGT,T_DIVE,MAX_BUOY,SM_CC,CALL_NDIVES,N_NOSURFACE,AH0_24V,AH0_10V,SC_RECORDABOVE,PA_RECORDABOVE,PA_PROFILE,CAPUPLOAD,D_BOOST,T_BOOST,e_pump_apogee,e_pump_surface,e_motors,e_comms,e_tt8_sampling,e_hotel,e_other,s_tt8_sampling,s_iridium,sensors,S_SciCon,I_SciCon,S_PAM,I_PAM,instrument,firmware,v24,ah24,v10,ah10,t_start,surface_min,dive_min,km_ground,maxdepth,t_above_100,t_above_200,t_above_300,t_above_500,t_above_900,n_eng,n_sbect,n_contopt,n_wlseaowl,n_auxCompass,n_wlbb2fl,km_water,kb_data,kb_cap,cc_apogee,j_apogee,cc_shallow,j_shallow,d_apogee,S_SBE_CT,I_SBE_CT,S_CONTOPT,I_CONTOPT,S_UVP,I_UVP,S_ESNDR,I_ESNDR
2018/DATA-20180308/p6440001.nc,644,5,1,90,30,150,250,1,0,310,0,2000,200,1,0,0,0,0.0994851,0.0116529,0.00539269,0.000136179,0.00520285,0.00943845,0,568.617,0,SciCon|PAM,2098,25.614,0,0,sbe41 contopt wlseaowl,66.12,13.52,1.042,13.41,0,1.52053e+09,4.58333,37.8333,0.666551,94.3285,2084.27,2084.27,2084.27,2084.27,2084.27,298,209,209,209,418,0,0.443658,6.806,72.761,307.601,4624.03,6.86829,120.293,91.4927,,,,,,,,
2018/DATA-20180308/p6440002.nc,644,5,2,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.109255,0.00148299,0.00620836,0.00953874,0.0109289,0.0150837,0,1194.42,181.161,SciCon|PAM,4382,25.048,2563,55,sbe41 contopt wlseaowl,66.12,13.5,1.219,13.2,0,1.52053e+09,5.51667,75.2167,1.54516,196.807,2058.65,4333.33,4333.33,4333.33,4333.33,524,435,432,434,868,0,1.00857,13.424,103.831,292.148,4796.08,35.8132,279.764,197.2,,,,,,,,
2018/DATA-20180308/p6440003.nc,644,5,3,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.121446,0,0.00519326,0.0131545,0.0120813,0.0154109,0,1320.36,243.963,SciCon|PAM,4416,25.47,4897,55,sbe41 contopt wlseaowl,66.12,13.5,1.411,13.18,0,1.52053e+09,7.03333,76.1,1.71873,212.208,1925.71,3924.52,4345.68,4345.68,4345.68,521,436,435,435,871,0,1.14478,13.464,105.28,341.943,5692.58,5.8871,24.3025,206.855,,,,,,,,
2018/DATA-20180308/p6440004.nc,644,5,4,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.135129,0,0.00497433,0.0124072,0.0121458,0.0159865,0,1327.41,222.609,SciCon|PAM,4632,25.266,4934,55,sbe41 contopt wlseaowl,66.12,13.52,1.612,13.43,0,1.52054e+09,6.88333,79.6167,1.94349,213.8,1998.89,4095.19,4557.41,4557.41,4557.41,538,457,457,457,913,0,1.11299,13.437,107.827,292.638,4827.35,136.63,1319.06,212.359,,,,,,,,
2018/DATA-20180308/p6440005.nc,644,5,5,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.148122,0,0.0071888,0.0191698,0.0132373,0.01623,0,1446.69,373.11,SciCon|PAM,4666,25.121,5366,55,sbe41 contopt wlseaowl,66.12,13.55,1.831,13.35,0,1.52055e+09,10.4167,79.6333,1.95073,213.88,1965.24,4131.25,4594.51,4594.51,4594.51,538,460,460,459,919,0,1.1084,13.443,109.937,292.393,4840.6,199.18,1809.96,212.357,,,,,,,,
2018/DATA-20180308/p6440006.nc,644,5,6,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.107305,0.00496753,0.005375,0.0173518,0.0125279,0.0156571,0,1369.17,310.907,SciCon|PAM,4473,25.154,0,0,sbe41 contopt wlseaowl,66.12,13.56,2.022,13.07,0,1.52055e+09,7.98333,76.0167,1.46384,213.87,1953.25,3947.53,4400.91,4400.91,4400.91,524,441,441,441,881,0,1.08646,13.438,105.402,309.564,5128.5,0,0,212.201,,,,,,,,
2018/DATA-20180308/p6440007.nc,644,5,7,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.108598,0.0040011,0.00587623,0.0114575,0.011607,0.0159966,0,1268.52,207.234,SciCon|PAM,4709,25.198,0,0,sbe41 contopt wlseaowl,66.12,13.57,2.208,13.45,0,1.52056e+09,5.85,79.6333,1.58129,214,2027.65,4177.78,4638.39,4638.39,4638.39,550,465,464,464,929,0,1.15352,13.437,107.556,315.205,5220.98,0,0,208.914,,,,,,,,
2018/DATA-20180308/p6440008.nc,644,5,8,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.114469,0,0.00434543,0.0133697,0.0118529,0.0157302,0,1295.4,244.068,SciCon|PAM,4717,25.253,0,0,sbe41 contopt wlseaowl,66.12,13.57,2.394,13.45,0,1.52056e+09,6.68333,80.8167,1.59587,213.064,2023.16,4201.16,4641.92,4641.92,4641.92,555,465,464,465,930,0,1.1284,13.426,106.304,302.941,5026.03,44.8892,360.149,208.923,,,,,,,,
2018/DATA-20180308/p6440009.nc,644,5,9,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.127796,0,0.00442578,0.0122924,0.0110067,0.0150671,0,1202.91,223.836,SciCon|PAM,4558,25.302,0,0,sbe41 contopt wlseaowl,66.12,13.59,2.589,13.39,0,1.52057e+09,6.2,77.7667,1.55918,213.771,1914.93,3997.66,4486.61,4486.61,4486.61,534,450,449,450,899,0,1.14835,13.434,101.711,319.13,5239.27,74.3247,750.737,211.629,,,,,,,,
2018/DATA-20180308/p6440010.nc,644,5,10,210,80,150,200,1,0,310,0,2000,200,1,0,0,0,0.114226,0,0.00354827,0.0111977,0.0110329,0.0152473,0,1205.78,202.85,SciCon|PAM,4636,25.218,0,0,sbe41 contopt wlseaowl,66.12,13.58,2.771,13.51,0,1.52057e+09,5.85,79.55,1.38719,214.378,1990.15,4120.31,4564.96,4564.96,4564.96,547,458,457,457,914,0,1.1097,13.402,102.121,312.262,5160.02,31.3979,240.286,209.356,,,,,,,,
